species,lat,N,Texp,mass,peak_velocity
Acris blanchardi,temperate,7,35,,2.872954804
Charadrahyla nephila,tropical,5,26,,3.063484992
Exerodonta abdivita,tropical,6,26,,2.521248821
Hyla arenicolor,temperate,7,35,,2.797337531
Hyla avivoca,temperate,8,26,,2.490523994
Hyla cinerea,temperate,7,35,,2.790127302
Limnodynastes peronii,temperate,24,24,22.7,2.8
Limnodynastes peronii,tropical,14,28,5.14,3.26
Limnodynastes peronii,temperate,12,20,23.3,2.73
Limnodynastes peronii,tropical,13,32,9.5,2.97
Limnodynastes peronii,temperate,22,28,7.5,3.15
Lithobates clamitans,temperate,9,20,,1.946666667
Pseudacris crucifer,temperate,7,35,,2.596482016
Pseudacris fouquettei,temperate,6,35,,2.144840955
Ptychohyla zophodes,tropical,7,20,,2.509849976
Smilisca baudinii,tropical,6,35,,3.997955503
Smilisca cyanosticta,tropical,6,32,,3.326997228
Tlalocohyla smithii,tropical,1,32,,2.48496482
