species,lat,RcolorID,N,Texp,mass,peak_velocity
Acris blanchardi,temperate,raw,7,35,,2.872954804
Charadrahyla nephila,tropical,raw,5,26,,3.063484992
Exerodonta abdivita,tropical,raw,6,26,,2.521248821
Hyla arenicolor,temperate,raw,7,35,,2.797337531
Hyla avivoca,temperate,raw,8,26,,2.490523994
Hyla cinerea,temperate,raw,7,35,,2.790127302
Limnodynastes peronii,temperate,raw,24,24,22.7,2.8
Limnodynastes peronii,tropical,raw,14,28,5.14,3.26
Limnodynastes peronii,temperate,raw,12,20,23.3,2.73
Limnodynastes peronii,tropical,raw,13,32,9.5,2.97
Limnodynastes peronii,temperate,raw,22,28,7.5,3.15
Rana clamitans,temperate,raw,9,20,,1.946666667
Pseudacris crucifer,temperate,raw,7,35,,2.596482016
Pseudacris fouquettei,temperate,raw,6,35,,2.144840955
Ptychohyla zophodes,tropical,raw,7,20,,2.509849976
Smilisca baudinii,tropical,raw,6,35,,3.997955503
Smilisca cyanosticta,tropical,raw,6,32,,3.326997228
Tlalocohyla smithii,tropical,raw,1,32,,2.48496482
,temperate,avg,,29.3,,
,tropical,avg,,28.875,,
